GOID	Description	FDR	Database	Type	Genes	Enrichment
GO:0016564	transcription repressor activity	4.92E-02	BiNGO	MF	UBE2I	All (Up vs. Down)
GO:0016564	transcription repressor activity	4.92E-02	BiNGO	MF	BASP1	All (Up vs. Down)
GO:0016564	transcription repressor activity	4.92E-02	BiNGO	MF	SRSF2	All (Up vs. Down)
GO:0016564	transcription repressor activity	4.92E-02	BiNGO	MF	ETV3	All (Up vs. Down)
GO:0048583	regulation of response to stimulus	4.92E-02	g:Profiler	BP	SFPQ	All (Up vs. Down)
GO:0048583	regulation of response to stimulus	4.92E-02	g:Profiler	BP	RAC2	All (Up vs. Down)
GO:0048583	regulation of response to stimulus	4.92E-02	g:Profiler	BP	PSMC4	All (Up vs. Down)
GO:0048583	regulation of response to stimulus	4.92E-02	g:Profiler	BP	MYOF	All (Up vs. Down)
GO:0048583	regulation of response to stimulus	4.92E-02	g:Profiler	BP	CD59	All (Up vs. Down)
GO:0048583	regulation of response to stimulus	4.92E-02	g:Profiler	BP	PSMA5	All (Up vs. Down)
GO:0048583	regulation of response to stimulus	4.92E-02	g:Profiler	BP	YWHAG	All (Up vs. Down)
GO:0048583	regulation of response to stimulus	4.92E-02	g:Profiler	BP	UBE2I	All (Up vs. Down)
GO:0048583	regulation of response to stimulus	4.92E-02	g:Profiler	BP	CAV1	All (Up vs. Down)
GO:0044089	positive regulation of cellular component biogenesis	4.92E-02	g:Profiler	BP	CAND1	All (Up vs. Down)
GO:0044089	positive regulation of cellular component biogenesis	4.92E-02	g:Profiler	BP	PSMC3	All (Up vs. Down)
GO:0044089	positive regulation of cellular component biogenesis	4.92E-02	g:Profiler	BP	AKAP9	All (Up vs. Down)
GO:0071456	cellular response to hypoxia	4.92E-02	g:Profiler	BP	PSMC3	All (Up vs. Down)
GO:0071456	cellular response to hypoxia	4.92E-02	g:Profiler	BP	PSMA2	All (Up vs. Down)
GO:0033993	response to lipid	4.91E-02	g:Profiler	BP	GPI	All (Up vs. Down)
GO:0033993	response to lipid	4.91E-02	g:Profiler	BP	CAPN2	All (Up vs. Down)
GO:0033993	response to lipid	4.91E-02	g:Profiler	BP	HMGB1	All (Up vs. Down)
GO:0033993	response to lipid	4.91E-02	g:Profiler	BP	XRCC5	All (Up vs. Down)
GO:0032839	dendrite cytoplasm	4.91E-02	g:Profiler	CC	SFPQ	All (Up vs. Down)
GO:0010985	negative regulation of lipoprotein particle clearance	4.90E-02	g:Profiler	BP	KHSRP	All (Up vs. Down)
GO:0071359	cellular response to dsRNA	4.90E-02	g:Profiler	BP	CAV1	All (Up vs. Down)
GO:1902884	positive regulation of response to oxidative stress	4.90E-02	g:Profiler	BP	SFPQ	All (Up vs. Down)
GO:0072215	regulation of metanephros development	4.90E-02	g:Profiler	BP	BASP1	All (Up vs. Down)
GO:0038093	Fc receptor signaling pathway	4.90E-02	g:Profiler	BP	PSMC4	All (Up vs. Down)
GO:0038093	Fc receptor signaling pathway	4.90E-02	g:Profiler	BP	PSMA5	All (Up vs. Down)
GO:0072010	glomerular epithelium development	4.90E-02	g:Profiler	BP	BASP1	All (Up vs. Down)
GO:0044798	nuclear transcription factor complex	4.89E-02	g:Profiler	CC	HMGA1	All (Up vs. Down)
GO:0044798	nuclear transcription factor complex	4.89E-02	g:Profiler	CC	TRIM28	All (Up vs. Down)
GO:0006333	chromatin assembly or disassembly	4.89E-02	GOstat	BP	HIST1H1T	All (Up vs. Down)
GO:0006333	chromatin assembly or disassembly	4.89E-02	GOstat	BP	HIST1H1E	All (Up vs. Down)
GO:0006333	chromatin assembly or disassembly	4.89E-02	GOstat	BP	HIST1H1B	All (Up vs. Down)
GO:0006403	RNA localization	4.89E-02	GOstat	BP	KHSRP	All (Up vs. Down)
GO:0006403	RNA localization	4.89E-02	GOstat	BP	RAN	All (Up vs. Down)
GO:0006432	phenylalanyl-tRNA aminoacylation	4.89E-02	GOstat	BP	FARSA	All (Up vs. Down)
GO:0016584	nucleosome positioning	4.89E-02	GOstat	BP	HIST1H1E	All (Up vs. Down)
GO:0050657	nucleic acid transport	4.89E-02	GOstat	BP	KHSRP	All (Up vs. Down)
GO:0050657	nucleic acid transport	4.89E-02	GOstat	BP	RAN	All (Up vs. Down)
GO:0050658	RNA transport	4.89E-02	GOstat	BP	KHSRP	All (Up vs. Down)
GO:0050658	RNA transport	4.89E-02	GOstat	BP	RAN	All (Up vs. Down)
GO:0051236	establishment of RNA localization	4.89E-02	GOstat	BP	KHSRP	All (Up vs. Down)
GO:0051236	establishment of RNA localization	4.89E-02	GOstat	BP	RAN	All (Up vs. Down)
GO:0051276	chromosome organization	4.89E-02	GOstat	BP	HIST1H1T	All (Up vs. Down)
GO:0051276	chromosome organization	4.89E-02	GOstat	BP	ACTL6B	All (Up vs. Down)
GO:0051276	chromosome organization	4.89E-02	GOstat	BP	HIST1H1E	All (Up vs. Down)
GO:0051276	chromosome organization	4.89E-02	GOstat	BP	HIST1H1B	All (Up vs. Down)
GO:0065004	protein-DNA complex assembly	4.89E-02	GOstat	BP	HIST1H1T	All (Up vs. Down)
GO:0065004	protein-DNA complex assembly	4.89E-02	GOstat	BP	HIST1H1E	All (Up vs. Down)
GO:0065004	protein-DNA complex assembly	4.89E-02	GOstat	BP	HIST1H1B	All (Up vs. Down)
GO:0005720	nuclear heterochromatin	4.89E-02	BiNGO	CC	TRIM28	All (Up vs. Down)
GO:0005720	nuclear heterochromatin	4.89E-02	BiNGO	CC	MAEL	All (Up vs. Down)
GO:0030849	autosome	4.89E-02	BiNGO	CC	MAEL	All (Up vs. Down)
GO:0031982	vesicle	4.89E-02	BiNGO	CC	YWHAE	All (Up vs. Down)
GO:0031982	vesicle	4.89E-02	BiNGO	CC	GANAB	All (Up vs. Down)
GO:0031982	vesicle	4.89E-02	BiNGO	CC	AHCY	All (Up vs. Down)
GO:0031982	vesicle	4.89E-02	BiNGO	CC	RAB5C	All (Up vs. Down)
GO:0031982	vesicle	4.89E-02	BiNGO	CC	RAB1C	All (Up vs. Down)
GO:0031982	vesicle	4.89E-02	BiNGO	CC	ANXA11	All (Up vs. Down)
GO:0031982	vesicle	4.89E-02	BiNGO	CC	CD9	All (Up vs. Down)
GO:0031982	vesicle	4.89E-02	BiNGO	CC	ARCN1	All (Up vs. Down)
GO:0032311	angiogenin-PRI complex	4.89E-02	BiNGO	CC	RNH1	All (Up vs. Down)
GO:0043564	Ku70:Ku80 complex	4.89E-02	BiNGO	CC	XRCC5	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	ACSL4	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	AHCY	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	ATP5O	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	CRTC2	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	CWC25	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	DDX39A	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	EEF1D	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	GPI	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	HMGA1	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	HMGA2	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	HMGB1	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	HNRNPA1	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	HNRNPF	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	HNRNPH1	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	IMPDH2	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	MAEL	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	MDH2	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	PGK2	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	RBMX	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	RNH1	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	RPL10A	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	RPL13	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	RPL36A	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	RPS19	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	RPS28	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	TRIM28	All (Up vs. Down)
GO:0006139	nucleobase-containing compound metabolic process	4.89E-02	STRING	BP	XRCC5	All (Up vs. Down)
GO:0099513	polymeric cytoskeletal fiber	4.88E-02	PANTHER	CC	TUBB8	All (Up vs. Down)
GO:0099513	polymeric cytoskeletal fiber	4.88E-02	PANTHER	CC	POTEKP	All (Up vs. Down)
GO:0099513	polymeric cytoskeletal fiber	4.88E-02	PANTHER	CC	TUBB6	All (Up vs. Down)
GO:0099513	polymeric cytoskeletal fiber	4.88E-02	PANTHER	CC	TUBAL3	All (Up vs. Down)
GO:0099513	polymeric cytoskeletal fiber	4.88E-02	PANTHER	CC	TCP1	All (Up vs. Down)
GO:0099513	polymeric cytoskeletal fiber	4.88E-02	PANTHER	CC	RAC2	All (Up vs. Down)
GO:0099513	polymeric cytoskeletal fiber	4.88E-02	PANTHER	CC	EHBP1	All (Up vs. Down)
GO:0099513	polymeric cytoskeletal fiber	4.88E-02	PANTHER	CC	PLS1	All (Up vs. Down)
GO:0035303	regulation of dephosphorylation	4.88E-02	g:Profiler	BP	YWHAE	All (Up vs. Down)
GO:0035303	regulation of dephosphorylation	4.88E-02	g:Profiler	BP	FCRL3	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	UBE2I	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	ACTL6B	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	HSPA4	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	MYOF	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	HIST1H1T	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	RPS3A	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	ETV3	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	PSMA5	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	RPS14	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	SFPQ	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	ILF3	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	HIST1H4A	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	BASP1	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	PSMC4	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	KHSRP	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	NCL	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	TCP1	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	RAC2	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	RPL36	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	SRSF2	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	HIST1H1E	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	RPL17	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	HIST1H1B	All (Up vs. Down)
GO:0005634	nucleus	4.87E-02	BiNGO	CC	RAN	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	GPI	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	RAB5C	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	XRCC5	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	RAB1C	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	KRT1	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	ANXA11	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	HMGB1	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	ACTB	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	ARCN1	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	EHD2	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	KRT18	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	CAND1	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	PSMC3	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	HEATR5A	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	PSMA2	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	IMPDH2	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	CD9	All (Up vs. Down)
GO:0016192	vesicle-mediated transport	4.87E-02	PANTHER	BP	CCT8	All (Up vs. Down)
GO:1903320	regulation of protein modification by small protein conjugation or removal	4.86E-02	g:Profiler	BP	UBE2I	All (Up vs. Down)
GO:1903320	regulation of protein modification by small protein conjugation or removal	4.86E-02	g:Profiler	BP	CAV1	All (Up vs. Down)
GO:2000142	"regulation of DNA-templated transcription, initiation"	4.86E-02	WebGestalt	BP	CAND1	All (Up vs. Down)
GO:2000142	"regulation of DNA-templated transcription, initiation"	4.86E-02	WebGestalt	BP	HMGB1	All (Up vs. Down)
GO:2000142	"regulation of DNA-templated transcription, initiation"	4.86E-02	WebGestalt	BP	PSMC3	All (Up vs. Down)
GO:0003714	transcription corepressor activity	4.85E-02	g:Profiler	MF	SRSF2	All (Up vs. Down)
GO:0003714	transcription corepressor activity	4.85E-02	g:Profiler	MF	BASP1	All (Up vs. Down)
GO:0005839	proteasome core complex	4.85E-02	g:Profiler	CC	PSMA2	All (Up vs. Down)
GO:0022613	ribonucleoprotein complex biogenesis	4.84E-02	PANTHER	BP	RPL4	All (Up vs. Down)
GO:0022613	ribonucleoprotein complex biogenesis	4.84E-02	PANTHER	BP	RPS14	All (Up vs. Down)
GO:0022613	ribonucleoprotein complex biogenesis	4.84E-02	PANTHER	BP	RPL27A	All (Up vs. Down)
GO:0022613	ribonucleoprotein complex biogenesis	4.84E-02	PANTHER	BP	RPL36	All (Up vs. Down)
GO:0022613	ribonucleoprotein complex biogenesis	4.84E-02	PANTHER	BP	RPL29	All (Up vs. Down)
GO:0022613	ribonucleoprotein complex biogenesis	4.84E-02	PANTHER	BP	RPL17	All (Up vs. Down)
GO:0022613	ribonucleoprotein complex biogenesis	4.84E-02	PANTHER	BP	RAN	All (Up vs. Down)
GO:0003735	structural constituent of ribosome	4.84E-02	STRING	MF	RPL10A	All (Up vs. Down)
GO:0003735	structural constituent of ribosome	4.84E-02	STRING	MF	RPL13	All (Up vs. Down)
GO:0003735	structural constituent of ribosome	4.84E-02	STRING	MF	RPL36A	All (Up vs. Down)
GO:0003735	structural constituent of ribosome	4.84E-02	STRING	MF	RPS28	All (Up vs. Down)
GO:0070003	threonine-type peptidase activity	4.84E-02	g:Profiler	MF	PSMA5	All (Up vs. Down)
GO:0004298	threonine-type endopeptidase activity	4.84E-02	g:Profiler	MF	PSMA5	All (Up vs. Down)
GO:0045569	TRAIL binding	4.83E-02	GOstat	MF	TNFRSF10A	All (Up vs. Down)
GO:0042975	peroxisome proliferator activated receptor binding	4.83E-02	GOstat	MF	HMGA1	All (Up vs. Down)
