Database,variable,rescale,type
ClueGO,Hommel,0,Multiple Testing Method
BiNGO,Hommel,0,Multiple Testing Method
STRING,Hommel,0,Multiple Testing Method
DAVID,Hommel,0,Multiple Testing Method
PANTHER,Hommel,0,Multiple Testing Method
GENECODIS,Hommel,0,Multiple Testing Method
GOstat,Hommel,0,Multiple Testing Method
WebGestalt,Hommel,1,Multiple Testing Method
g:Profiler,Permutation method,0,Multiple Testing Method
GO:TermFinder,Permutation method,0,Multiple Testing Method
ClueGO,Permutation method,0,Multiple Testing Method
BiNGO,Permutation method,0,Multiple Testing Method
STRING,Permutation method,0,Multiple Testing Method
DAVID,Permutation method,0,Multiple Testing Method
PANTHER,Permutation method,0,Multiple Testing Method
GENECODIS,Permutation method,1,Multiple Testing Method
GOstat,Permutation method,0,Multiple Testing Method
WebGestalt,Permutation method,0,Multiple Testing Method
g:Profiler,GO-related graphical visualization,0,Miscellaneous
GO:TermFinder,GO-related graphical visualization,1,Miscellaneous
ClueGO,GO-related graphical visualization,1,Miscellaneous
BiNGO,GO-related graphical visualization,1,Miscellaneous
STRING,GO-related graphical visualization,0,Miscellaneous
DAVID,GO-related graphical visualization,0,Miscellaneous
PANTHER,GO-related graphical visualization,0,Miscellaneous
GENECODIS,GO-related graphical visualization,0,Miscellaneous
GOstat,GO-related graphical visualization,0,Miscellaneous
WebGestalt,GO-related graphical visualization,1,Miscellaneous
g:Profiler,Evidence codes adjustment or presentation,1,Miscellaneous
GO:TermFinder,Evidence codes adjustment or presentation,1,Miscellaneous
ClueGO,Evidence codes adjustment or presentation,1,Miscellaneous
BiNGO,Evidence codes adjustment or presentation,1,Miscellaneous
STRING,Evidence codes adjustment or presentation,0,Miscellaneous
DAVID,Evidence codes adjustment or presentation,0,Miscellaneous
PANTHER,Evidence codes adjustment or presentation,0,Miscellaneous
GENECODIS,Evidence codes adjustment or presentation,0,Miscellaneous
GOstat,Evidence codes adjustment or presentation,0,Miscellaneous
WebGestalt,Evidence codes adjustment or presentation,0,Miscellaneous
g:Profiler,Programmable,1,Miscellaneous
GO:TermFinder,Programmable,1,Miscellaneous
ClueGO,Programmable,0,Miscellaneous
BiNGO,Programmable,0,Miscellaneous
STRING,Programmable,1,Miscellaneous
DAVID,Programmable,1,Miscellaneous
PANTHER,Programmable,0,Miscellaneous
GENECODIS,Programmable,0,Miscellaneous
GOstat,Programmable,1,Miscellaneous
WebGestalt,Programmable,1,Miscellaneous
g:Profiler,Sub-type algorithms,0,Miscellaneous
GO:TermFinder,Sub-type algorithms,0,Miscellaneous
ClueGO,Sub-type algorithms,1,Miscellaneous
BiNGO,Sub-type algorithms,0,Miscellaneous
STRING,Sub-type algorithms,1,Miscellaneous
DAVID,Sub-type algorithms,0,Miscellaneous
PANTHER,Sub-type algorithms,1,Miscellaneous
GENECODIS,Sub-type algorithms,0,Miscellaneous
GOstat,Sub-type algorithms,0,Miscellaneous
WebGestalt,Sub-type algorithms,0,Miscellaneous
g:Profiler,Customization of GO levels,0,Miscellaneous
GO:TermFinder,Customization of GO levels,0,Miscellaneous
ClueGO,Customization of GO levels,1,Miscellaneous
BiNGO,Customization of GO levels,0,Miscellaneous
STRING,Customization of GO levels,0,Miscellaneous
DAVID,Customization of GO levels,0,Miscellaneous
PANTHER,Customization of GO levels,0,Miscellaneous
GENECODIS,Customization of GO levels,0,Miscellaneous
GOstat,Customization of GO levels,1,Miscellaneous
WebGestalt,Customization of GO levels,0,Miscellaneous
